ID,Name,Start Date,End date,Duration
1,PriorWorkAnalysis,2023-06-26,2023-07-09,14
2,ProblemFraming,2023-07-03,2023-07-12,10
3,ScopeDefinition,2023-07-07,2023-07-16,10
4,RequirementAnalysis,2023-07-17,2023-07-28,12
5,SettingofObjectives,2023-07-31,2023-08-20,21
6,Analyze & PreprocessDataset,2023-08-21,2023-09-10,21
7,Propose Improved Architecture,2023-09-11,2023-10-10,30
8,Project Review,2023-10-11,2023-10-23,13
9,Implement Self-Attention Layer,2024-01-22,2024-02-18,28
10,Testing & ResultAnalysis,2024-02-19,2024-02-25,7
11,Implement TempratureScalinginSelfAttention,2024-02-26,2024-03-27,31
12,Testing & ResultAnalysis,2024-03-28,2024-04-03,7
13,Abilation Testing,2024-04-04,2024-04-17,14
14,Formal Documentation,2024-04-15,2024-04-24,10
15,Project Conclusion&FinalReview,2024-04-25,2024-05-04,10
